uuid,name,legislature_name,slug
gov:godwin-obaseki,Godwin Obaseki,,godwin-obaseki
gov:oluwarontimi-akeredolu,Oluwarontimi Akeredolu,,oluwarontimi-akeredolu
b2a7f72a-9ecf-4263-83f1-cb0f8783053c,ABDUKADIR RAHIS,House of Representatives,abdukadir-rahis
8ab0069f-7c0f-4fcb-8b93-486432b7520a,ABDUL-MALIK ZUBAIRU,House of Representatives,abdul-malik-zubairu
764fce72-c12a-42ad-ba84-d899f81f7a77,ABDULAHI FARUK,House of Representatives,abdulahi-faruk
9cac82e2-515f-492b-90f5-343530a48f0a,ABDULLAHI HASSAN,House of Representatives,abdullahi-hassan
8643dbb1-57e4-4c5a-a34d-dcc76eb18a0c,ABDULRAZAK NAMDAS,House of Representatives,abdulrazak-namdas
b62f18fc-dd29-4b02-a5f7-95a42f956543,ABDUSSAMAD DASUKI,House of Representatives,abdussamad-dasuki
50cb2a99-49a0-4ea7-b5a5-65a0bd7ede30,ABUBAKAR AMUDA-KANNIKE,House of Representatives,abubakar-amuda-kannike
58a2855c-7b99-4837-b234-deed1fc2404a,ABUBAKAR DAHIRU,House of Representatives,abubakar-dahiru
d1b39c93-9087-4da4-adc4-e1ae99b35fc3,ABUBAKAR LADO,House of Representatives,abubakar-lado
5198eacc-97f8-4eb1-9ad9-1895cb5cb979,ABUBAKAR LAWAL,House of Representatives,abubakar-lawal
c8f995d8-29b6-43d2-b2cb-77a12a68b588,ADAMU KAMALE,House of Representatives,adamu-kamale
a4683308-694e-4907-8eca-a6a968d9f3b8,ADAMU MUHAMMADU,House of Representatives,adamu-muhammadu
b4771d4f-81fb-47ef-9631-9f8520b391ad,ADEBUTU OLADIPUPO,House of Representatives,adebutu-oladipupo
8ecd73b9-0119-4f2a-9514-cf441b8246a2,ADEDAPO LAM-ADESINA,House of Representatives,adedapo-lam-adesina
dbbb2782-d52b-4594-8150-d98f73ad776e,ADEKOYA ADESEGUN,House of Representatives,adekoya-adesegun
06356066-e59d-4182-b700-35120278bfdc,ADO MUSA,House of Representatives,ado-musa
8d17036d-0d51-4fb3-82eb-d5c9f2e2b9e5,AFE OLOWOOKERE,House of Representatives,afe-olowookere
4aa3a1f8-6788-4acd-ab49-7108b92b187a,AGBEDI YEITIEMONE,House of Representatives,agbedi-yeitiemone
cacf9de6-c729-4ea1-904c-2ce0515940b8,AHMED ABU,House of Representatives,ahmed-abu
ecad542f-6975-4a15-a31f-e2a8fbf041b4,AHMED YERIMA,House of Representatives,ahmed-yerima
717fe4f9-c75a-475e-a549-84d845a34ab8,AISHATU DUKKU,House of Representatives,aishatu-dukku
a038a9a0-3752-40cd-80ab-0cb42be9c973,AISOWIEREN PATRICK,House of Representatives,aisowieren-patrick
360ff59a-7382-4154-8a30-69f7f13912e6,AJAYI ADEYINKA,House of Representatives,ajayi-adeyinka
ade0005f-dccf-49dd-9f41-fefe8885beba,AKINJO VICTOR,House of Representatives,akinjo-victor
9b34c9ba-428f-4c08-9e05-716de04fcb06,AKINTOLA TAIWO,House of Representatives,akintola-taiwo
ed21de44-634c-469b-aeb4-6310664dfdad,ALABI MOJEED,House of Representatives,alabi-mojeed
18dd9ba1-d20d-4eb6-89f0-b3db84c05246,ALBERT ADEOGUN,House of Representatives,albert-adeogun
36aa99d5-6235-45b0-b831-58967b2555ed,ALIYU DANLADI,House of Representatives,aliyu-danladi
3b78b18c-75cd-486f-905b-ee1291ff95c5,AMINU ASHIRU,House of Representatives,aminu-ashiru
bf2e026d-c295-496f-ac19-b0897e5f8e0b,AMINU ISA,House of Representatives,aminu-isa
ba539602-2401-4974-9ed9-1a5003028b39,ANAYO NNEBE,House of Representatives,anayo-nnebe
35cc2522-e0d7-4e82-8619-2635bc60fd88,ASABE BASHIR,House of Representatives,asabe-bashir
e8f3081e-2f66-408f-bc0b-7bb9f4d93ba7,AWAJI-INOMBEK ABIANTE,House of Representatives,awaji-inombek-abiante
a037d5e6-cc05-4484-a1e4-87047c62a6b7,AYEOLA ABAYOMI,House of Representatives,ayeola-abayomi
bd3ce3b6-9eb9-46a1-baf2-503e6f6a4858,AZUBAGO IFEANYI,House of Representatives,azubago-ifeanyi
6706efee-7156-488a-95c4-4dd10b544c7a,Abdullahi Mohammed,House of Representatives,abdullahi-mohammed
631c3523-c284-469d-8fdf-e30d147ee88a,Abiodun Olasupo,House of Representatives,abiodun-olasupo
51c8fe3f-5e57-4e49-a373-fc9820a8802c,Abubakar Adamu,House of Representatives,abubakar-adamu
8b910dbc-22e9-4408-8dcf-98276b530ad3,Adabah Christian,House of Representatives,adabah-christian
78726e95-961f-461d-9bd1-ca226e30be4d,Adewale Oluwatayo,House of Representatives,adewale-oluwatayo
868498bd-2a23-4477-96b9-17bf0dbf96ae,Agom Jarigbe,House of Representatives,agom-jarigbe
790d799a-a330-416c-92dd-76b08676fc2c,Akinyede Awodumila,House of Representatives,akinyede-awodumila
d5d7e6d0-c824-4790-b455-12c5f5b38a30,Ali Isa,House of Representatives,ali-isa
0cfa657a-9ba3-4889-a30a-9c9c1040b9cb,Angulu Zakari,House of Representatives,angulu-zakari
f57fe0a1-478c-4ec4-b89a-9c7e18c89b43,Ayodeji Joseph,House of Representatives,ayodeji-joseph
5bca4ac7-190e-4cf1-a1a9-7c0735f4d764,BABATUNDE KOLAWOLE,House of Representatives,babatunde-kolawole
60ac3d18-9946-41e9-a7cf-6a5d35b281ec,BADERINWA BAMIDELE WHITE,House of Representatives,baderinwa-bamidele-white
25e4ad12-dcda-4fcc-ab3e-00c24dd3a711,BELLO ABDULLAHI,House of Representatives,bello-abdullahi
24a57e06-1019-4ed5-a6a9-99af12871b17,BELLO SANI,House of Representatives,bello-sani
7b93348e-4294-43a1-a6b2-5f32e478ad38,BOLAJI AYINLA,House of Representatives,bolaji-ayinla
3acdf153-8e52-4c6a-854c-7a24869dd1b6,BULUS SOLOMON,House of Representatives,bulus-solomon
902ca577-525c-46bb-8677-718d0e32ded5,BUSAYO OKE,House of Representatives,busayo-oke
e5c64ded-fbca-42d0-903e-44618f4964bf,Babajimi Benson,House of Representatives,babajimi-benson
f9a3b9d5-18f7-4d6c-a1b5-4c11be52e9cd,Ben Nwankwo,House of Representatives,ben-nwankwo
3cb4be54-0692-41f3-9fde-aef403474774,CHIDOKA OBINNA,House of Representatives,chidoka-obinna
b17b20ef-a8a0-481b-abba-8a9ceedaed1e,CHUKWUEMEKA ANOHU,House of Representatives,chukwuemeka-anohu
d9936274-8b09-43dd-8289-2bdc96c0dfe0,CHUKWUEMEKA UJAM,House of Representatives,chukwuemeka-ujam
e48fa637-1ddc-45e4-acaa-21a14127a330,CHUKWUKA ONYEMA,House of Representatives,chukwuka-onyema
515d2b39-e318-47ac-992f-39b3c44acc56,CHUKWUKERE AUSTINE,House of Representatives,chukwukere-austine
2112408c-3908-409b-826a-52fa59654163,Chukwuma Nwazunku,House of Representatives,chukwuma-nwazunku
de9be2db-dc90-4d40-a967-e906ce7c2f99,D Boma,House of Representatives,d-boma
eb96273d-62bb-4a48-8615-ae257b378389,DA'U MAGAJI,House of Representatives,dau-magaji
9d4283cd-7e90-4c59-a428-346c95bbe0a6,DANBURAM NUHU,House of Representatives,danburam-nuhu
d44924f4-be2d-4f5c-afa8-f4510e8d727a,DAYYABU AHMED,House of Representatives,dayyabu-ahmed
00f8089e-cc28-4433-90fa-48852600a92b,DEKOR DUMNAMENE,House of Representatives,dekor-dumnamene
a1fde7e8-6b68-4e69-9b87-f6d12b26cf88,DENNIS AMADI,House of Representatives,dennis-amadi
cfbd55d3-3ce6-48e8-bfbc-bfc2b57e4f59,DOUYE DIRI,House of Representatives,douye-diri
692c14c1-07cd-4bc7-bb09-0ade6b2b2f57,Danladi Baido,House of Representatives,danladi-baido
c559cabf-04e8-468f-bc84-c3d52daf0e69,Darlington Nwokocha,House of Representatives,darlington-nwokocha
a5a3bc2d-d074-4d77-8112-604ac7630c77,Dennis Agbo,House of Representatives,dennis-agbo
02f6ec41-6711-434d-9bab-1e4143954edb,EDERIN IDISI,House of Representatives,ederin-idisi
d7d9a7f3-972a-4ceb-9c97-a8787b86a673,EDIM ETA,House of Representatives,edim-eta
7446df85-7895-4c1e-8431-28b8cf83f523,EDWIN ANAYO,House of Representatives,edwin-anayo
ee50c7f9-787f-46eb-9c17-2d1b0d0dac56,EGWU EMMANUEL,House of Representatives,egwu-emmanuel
02f60e2e-b2eb-49b1-ad43-efbc4809077d,EHIOZUWA AGBONAYINMA,House of Representatives,ehiozuwa-agbonayinma
7a964ca1-67eb-43e9-8986-f2823bef710f,EMERENGWA BONIFACE,House of Representatives,emerengwa-boniface
74b1390d-39d3-4ce1-9ef4-8f7e7641d0df,ENITAN BADRU,House of Representatives,enitan-badru
ff5b5a16-9243-4cc0-83fc-b4c97f44ce63,Eke Bede,House of Representatives,eke-bede
9ab7d672-3488-4ce7-83df-d85603c0b1d8,Emeka Idu,House of Representatives,emeka-idu
8dd0112a-1805-44b8-9b7a-4c6a6faa5b70,Emmanuel Akpan,House of Representatives,emmanuel-akpan
a1906a92-c207-444e-83c5-221f635d1c6d,FARUK MUHAMMADU,House of Representatives,faruk-muhammadu
b32bbfd7-7e44-45e3-b1e1-fb5cff750021,FRANCIS UDUYOK,House of Representatives,francis-uduyok
c30c00dc-f1c5-44f6-b42b-99be55b03589,Fulata Abubakar,House of Representatives,fulata-abubakar
f02cddda-fddf-4cf8-8fc5-b36ee0fdd895,GABRIEL ONYENWIFE,House of Representatives,gabriel-onyenwife
3cb8bc47-9681-409a-a602-f54c2be08b52,GARBA AHMED,House of Representatives,garba-ahmed
ee784851-7a07-45d3-8314-b7d63bbd49aa,GARBA MOHAMMED,House of Representatives,garba-mohammed
ec3ad0af-b8f7-4f12-8358-278ef53e6fc2,GARBA UMAR,House of Representatives,garba-umar
e62ad765-bebf-4952-9814-629be886ceea,GAZA GBEFWI,House of Representatives,gaza-gbefwi
875408c1-8bb0-4b66-9efb-defdeef28f47,GOODLUCK OPIAH,House of Representatives,goodluck-opiah
da20ea9b-54e7-4caa-a508-5f425ac7b11a,Garba Sabo,House of Representatives,garba-sabo
68ad0d36-e750-4486-83b0-f887cc360c78,Gideon Gwani,House of Representatives,gideon-gwani
8ff5f0af-eaec-4e24-8896-eb41afbb9bd8,HAMMAN-JULDE GARBA,House of Representatives,hamman-julde-garba
a13b0d31-cad2-49fa-9173-ee030984aca3,HASSAN ABUBAKAR III,House of Representatives,hassan-abubakar-iii
f77669c1-8dbe-4747-aa68-f8c84dcd303d,HASSAN ADAMU,House of Representatives,hassan-adamu
