gadm,poll_unit,atlas,old_mapit,pombola,MapIt State Name,MapIt Name,MapIt ID,EP area ID,EP area name
,,IJEBU ODE/ODOGBOLU/ IJEBU NORTH EAST,Ijebu Central,Ijebu Ode/Odogbolu/Ijebu North East,Ogun,IJEBU ODE/ODOGBOLU/ IJEBU NORTH EAST,966,"area/ijebu_ode/odogbolu/ijebu_north_east,_ogun_state","Ijebu Ode/Odogbolu/Ijebu North East, Ogun State"
,,Ikot Ekpene/ Essien Udim/ Obot Akara,Ikot Ekpene,Ikot Ekpene/Essien Udim/Obot Akara,Akwa Ibom,Ikot Ekpene/ Essien Udim/ Obot Akara,1076,"area/ikot_ekpene/_essien_udim/_obot_akara,_akwa_ibom_state","Ikot Ekpene/ Essien Udim/ Obot Akara, Akwa Ibom State"
,,Bebeji/Kiru,Kiru/Bebeji,Bebeji/Kiru,Kano,Bebeji/Kiru,1138,"area/bebeji/kiru,_kano_state","Bebeji/Kiru, Kano State"
,,Vandeikya/Konshisha,Konshisha/Vandekiya,Konshisha/Vandekiya,Benue,Vandeikya/Konshisha,926,"area/vandeikya/konshisha,_benue_state","Vandeikya/Konshisha, Benue State"
,,,,Yamaltu/Deba,Gombe,Yamaltu-Deba,1079,"area/yamaltu-deba,_gombe_state","Yamaltu-Deba, Gombe State"
,,,,Okitipupa/Irele,Ondo,Okitipupa/Irele,1173,"area/okitipupa/irele,_ondo_state","Okitipupa/Irele, Ondo State"
,,KEFFI/KARU/KOKONA,Karu / Kokona / Keffi,Keffi/Karu/Kokona,Nassarawa,KEFFI/KARU/KOKONA,951,"area/karu/keffi/kokona,_nassarawa_state","KARU/KEFFI/KOKONA, Nassarawa State"
,,Mbaitolu/Ikeduru,Mbaitoli/Ikeduru,Ikeduru/Mbaitoli,Imo,Mbaitolu/Ikeduru,1215,"area/mbaitolu/ikeduru,_imo_state","Mbaitolu/ikeduru, Imo State"
,,Calabar Munincipal/Odukpani,CALABAR/UDOKPANI,Calabar Municipal/Odukpani,Cross River,Calabar Munincipal/Odukpani,1024,"area/calabar_munincipal/odukpani,_cross_river_state","Calabar Munincipal/Odukpani, Cross River State"
,,,,Fika/Fune,Yobe,Fika/Fune,953,"area/fika/fune,_yobe_state","Fika/Fune, Yobe State"
,,ANKA//TALATA-MAFARA,Anka/Talata Mafara,Anka/Talata Mafara,Zamfara,ANKA//TALATA-MAFARA,975,"area/anka/mafara,_zamfara_state","Anka/Mafara, Zamfara State"
,,Etinan/ nsit/nsit Ubium,Etinan,Etinan/Nsit Ibom/Nsit ubium,Akwa Ibom,Etinan/ nsit/nsit Ubium,1238,"area/etinan/nsit_ibom/nsit_ubium,_akwa_ibom_state","Etinan/Nsit Ibom/Nsit Ubium, Akwa Ibom State"
,,Bama/Ngala/Kala-Balge,Bama / Ngala,Bama/Ngala/Kala-Balge,Borno,Bama/Ngala/Kala-Balge,1141,"area/bama/ngala/kalabalge,_borno_state","Bama/Ngala/Kalabalge, Borno State"
,,,,Tsanyawa/Kunchi,Kano,Tsanyawa/Kunchi,1140,"area/tsanyawa/kunchi,_kano_state","Tsanyawa/Kunchi, Kano State"
,,Biu/Bayo/Shani/Kwaya Kusar,Biu / Bayo / Kwaya-Kusar / Shani,Biu/Kwaya-Kusar/Shani/Bayo,Borno,Biu/Bayo/Shani/Kwaya Kusar,1181,"area/biu/bayo/shani/kwaya_kusar,_borno_state","Biu/Bayo/Shani/Kwaya Kusar, Borno State"
,,,,Ikeja,Lagos,IKEJA,1259,"area/ikeja,_lagos_state","Ikeja, Lagos State"
,,Ohaukwu/Ebonyi,Ebonyi/Ohaukwu,Ebonyi/Ohaukwu,Ebonyi,Ohaukwu/Ebonyi,1052,"area/ohaukwu/ebonyi,_ebonyi_state","Ohaukwu/Ebonyi, Ebonyi State"
,,Municipal/Bwari,ABUJA MUNICIPAL/BWARI,Abuja municipal/Bwari,Federal Capital Territory,Municipal/Bwari,1125,"area/abuja_municipal_/bwari,_federal_capital_territory_state","Abuja Municipal /Bwari, Federal Capital Territory State"
,,GULANI/GUJBA/DAMATURU/TARMUWA,Damatura/Gujba/Gulani/Tarmuwa,Damatura/Gujba/Gulani/Tarmuwa,Yobe,GULANI/GUJBA/DAMATURU/TARMUWA,969,"area/damaturu/gujba/gulani/tarmuwa,_yobe_state","Damaturu/Gujba/Gulani/Tarmuwa, Yobe State"
,,IFAKO-IJAIYE,Ifako Ijaye,Ifako Ijaye,Lagos,IFAKO-IJAIYE,1034,"area/ifako-ijaiye,_lagos_state","Ifako-Ijaiye, Lagos State"
,,,,Agege,Lagos,AGEGE,1070,"area/agege,_lagos_state","Agege, Lagos State"
,,Aninri/Agwu/Oji-uzo,Aninri / Agwu / Oji-River,Aninri / Agwu / Oji-River,Enugu,Aninri/Agwu/Oji-uzo,1096,"area/aninri/agwu/oji-uzo,_enugu_state","Aninri/Agwu/Oji-uzo, Enugu State"
,,Ughelli North/South/Udu,Udu/Ughelli North/South,Ughelli North/Ughelli South/Udu,Delta,Ughelli North/South/Udu,1031,"area/ughelli_north/south/udu,_delta_state","Ughelli North/South/Udu, Delta State"
,,AKOKO NORTH EAST/ AKOKO NORTH WEST,Akoko North East/North-West,Akoko North East/Akoko North West,Ondo,AKOKO NORTH EAST/ AKOKO NORTH WEST,1268,"area/akoko_north_east/west,_ondo_state","Akoko North East/West, Ondo State"
,,,,Wudil/Garko,Kano,Wudil/Garko,989,"area/wudil/garko,_kano_state","Wudil/Garko, Kano State"
,,,,Ringim/Taura,Jigawa,Ringim/Taura,1064,"area/ringim/taura,_jigawa_state","Ringim/Taura, Jigawa State"
,,,,Darazo/Ganjuwa,Bauchi,Darazo/Ganjuwa,1102,"area/darazo/gunjuwa,_bauchi_state","Darazo/Gunjuwa, Bauchi State"
,,IFELODUN/OFFA/OYUN,Felodun/Offa/Oyun,Ifelodun/Offa/Oyun,Kwara,IFELODUN/OFFA/OYUN,1055,"area/offa/oyun/ifelodun,_kwara_state","Offa/Oyun/Ifelodun, Kwara State"
,,,,Dawakin-Kudu/Warawa,Kano,Dawakin-Kudu/Warawa,1012,"area/dawakin_kudu/warawa,_kano_state","Dawakin Kudu/Warawa, Kano State"
,,,,Tarauni,Kano,Tarauni,1017,"area/tarauni,_kano_state","Tarauni, Kano State"
,,Michika/Madagali,Madagali / Michika,Madagali/Michika,Adamawa,Michika/Madagali,1095,"area/michika/madagali,_adamawa_state","Michika/Madagali, Adamawa State"
,,,,Awe/Doma/Keana ,Nassarawa,AWE/DOMA/KEANA,992,"area/awe/doma/keana,_nassarawa_state","Awe/Doma/Keana, Nassarawa State"
,,TAI/ELEME/OYIGBO,Eleme / Oyigbo / Tai,Eleme/Tai/Oyigbo,Rivers,TAI/ELEME/OYIGBO,1206,"area/tai/eleme/oyigbo,_rivers_state","Tai/Eleme/Oyigbo, Rivers State"
,,AFIJIO/ATIBA/OYO EAST/ OYO WEST,Afijio/Atiba East/Oyo West,Afijio/Oyo East/Oyo West/ Atiba,Oyo,AFIJIO/ATIBA/OYO EAST/ OYO WEST,1002,"area/afijio/oyo_east/oyo_west/_atiba,_oyo_state","Afijio/Oyo East/Oyo West/ Atiba, Oyo State"
,,,,Binji/Silame,Sokoto,BINJI/SILAME,1015,"area/binji/silame,_sokoto_state","Binji/Silame, Sokoto State"
,,,,Yabo/Shagari,Sokoto,Yabo/Shagari,1187,"area/shagari/yabo,_sokoto_state","Shagari/Yabo, Sokoto State"
,,,,Nkanu East/Nkanu West,Enugu,Nkanu East/Nkanu West,1049,"area/nkanu_east/nkanu_west,_enugu_state","Nkanu East/Nkanu West, Enugu State"
,,WURNO/RABBAH,Wurno / Rabah,Wurno / Rabah,Sokoto,WURNO/RABBAH,962,"area/wurno/rabah,_sokoto_state","Wurno/Rabah, Sokoto State"
,,Hong/Gombi,Gombi/Hong,Gombi/Hong,Adamawa,Hong/Gombi,922,"area/hong/gombi,_adamawa_state","Hong/Gombi, Adamawa State"
,,OSHODI/ISOLO II,Oshodi / Isolo Fed. Const II,Oshodi/Isolo II,Lagos,OSHODI/ISOLO II,1275,"area/oshodi-isolo_ii,_lagos_state","Oshodi-Isolo II, Lagos State"
,,TSAFE/GUSAU,GUSAU/TSAFE,Gusau/Tsafe,Zamfara,TSAFE/GUSAU,937,"area/tsafe/gusau,_zamfara_state","Tsafe/Gusau, Zamfara State"
