honorific_prefix,name,id,state,party,email,phone,twitter,facebook_url,birth_date,gender,identifier__shineyoureye,image_url,website_url,other_names
Dr,Okezie Ikpeazu,gov:victor-okezie-ikpeazu,Abia,Peoples Democratic Party,info@abiastate.gov.ng,2348053387018,OkezieIkpeazu,,1964-10-18,Male,okezie-ikpeazu,http://www.shineyoureye.org/media_root/images/Abia_-_Okezie_Ikpeazu.jpg,,Okezie Ikpeazu
,Ahmadu Umaru Finitiri,gov-ahmadu-umaru-finitiri,Adamawa,Peoples Democratic Party,,,AhmaduFinitiri,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-ahmadu-umaru-finitiri/original.jpeg,,
,Udom Emmanuel,gov:emmanuel-udom,Akwa Ibom,Peoples Democratic Party,udom@udomemmanuel.ng,2348022243064,MrUdomEmmanuel,,1966-07-11,Male,emmanuel-udom,http://www.shineyoureye.org/media_root/images/Akwa_Ibom_-_Emmanuel_Udom.jpg,,
,Willie Obiano,gov:willie-obiano,Anambra,All Progressives Grand Alliance,,2347030008855,WillieMObiano,https://www.facebook.com/WillieObiano,1957-08-08,Male,willie-maduabuchukwu-obiano,http://www.shineyoureye.org/media_root/images/obiano-2.jpg,,Willie Maduabuchukwu Obiano
,Bala Mohammed,gov-bala-mohammed,Bauchi,Peoples Democratic Party,,,,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-bala-mohammed/original.jpeg,,
Hon,Seriake Dickson,gov:seriake-dickson,Bayelsa,Peoples Democratic Party,,2348033422268;2348084673265;2348132798648,GovDickson;DicksonSeriake,,1966-01-28,Male,henry-seriake-dickson,http://www.shineyoureye.org/media_root/images/dickson_1.jpg,,Henry Seriake Dickson
,Samuel Ortom,gov:samuel-ortom,Benue,Peoples Democratic Party,,2349091573337,OrtomSamuel,,1961-04-23,Male,samuel-ortom,http://www.shineyoureye.org/media_root/images/Benue_-_Samuel_Ortom.jpg,,
,Babagana Zulum,gov-babagana-zulum,Borno,All Progressives Congress,,,ProfZulum,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-babagana-zulum/original.jpeg,,
Prof,Ben Ayade,gov:ben-ayade,Cross River,Peoples Democratic Party,,,ben_ayade,,1969-03-02,Male,benedict-ayade,http://www.shineyoureye.org/media_root/images/Cross_River_-_Ben_Ayade.jpg,,Benedict Ayade
,Ifeanyi Okowa,gov:senator-ifeanyi-okowa,Delta,Peoples Democratic Party,info@deltastate.com.ng,2348056056056;2347034081144,IAOkowa,http://www.facebook.com/pages/Dr-AI-Okowa-for-Senate-2011/145387682167509?ref=hl,1959-07-08,male,arthur-okowa-ifeanyi,http://www.shineyoureye.org/media_root/images/Delta_-_Ifeanyi_Okowa.jpg,,Arthur Okowa Ifeanyi
Engr,Dave Umahi,gov:dave-umahi,Ebonyi,Peoples Democratic Party,,,DaveUmahi,,1964-01-01,Male,dave-umahi,http://www.shineyoureye.org/media_root/images/Ebonyi_-_Dave_Umahi.jpg,,
,Godwin Obaseki,gov:godwin-obaseki,Edo,All Progressives Congress,,,GovernorObaseki,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov:godwin-obaseki/original.jpeg,,
,Kayode Fayemi,gov:kayode-fayemi,Ekiti,All Progressives Congress,,,kfayemi,,,,kayode-fayemi,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov:kayode-fayemi/original.jpeg,,
,Ifeanyi Ugwuanyi,gov:ifeanyi-ugwuanyi,Enugu,Peoples Democratic Party,,2348033129554,GovUgwuanyi,,1964-03-20,Male,ugwuanyi-ifeanyi,http://www.shineyoureye.org/media_root/images/Enugu_-_Ifeanyi_Ugwuanyi.jpg,,Ugwuanyi Ifeanyi
,Inuwa Yahaya,gov-inuwa-yahaya,Gombe,All Progressives Congress,,,GovernorInuwa,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-inuwa-yahaya/original.jpeg,,
,Chukwuemeka Ihedioha,gov-chukwuemeka-ihedioha,Imo,Peoples Democratic Party,,,EmekaIhedioha,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-chukwuemeka-ihedioha/original.jpeg,,
,Muhammad Badru,gov-muhammad-badru,Jigawa,All Progressives Congress,,,,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-muhammad-badru/original.jpeg,,
